the quality of being beneficial and generally good for you	Philosophy and psychology
insure again by transferring to another insurance company all or a part of a liability assumed	Business, economics, and finance
foolish gibberish	Language and linguistics
the property of being a relatively small amount; "he was attracted by the smallness of the taxes"	Mathematics
an arrangement of a piece of music for performance by an orchestra or band	Music
African antelopes: impalas	Animals
a company that provides shipping services	Business, economics, and finance
in an imperceptible manner or to an imperceptible degree; "the power of the Secretary of State in London increased gradually but imperceptibly"	Philosophy and psychology
sailing vessel with a fore-and-aft rig	Warfare and defense
an authoritative written work; "this book is the final authority on the life of Milton"	Literature and theatre
100 dirhams equal 1 dinar in Libya	Numismatics and currencies
give a benediction to; "The dying man blessed his son"	Religion, mysticism and mythology
tendril-climbing herbs or shrubs whose seeds have a white heart-shaped spot	Biology
chase an animal up a tree; "the hunters treed the bear with dogs and killed it"; "her dog likes to tree squirrels"	Biology
make a film or photograph of something; "take a scene"; "shoot a movie"	Media
an industrial town to the east of Harrisburg	Geography and places
of or relating to studies beyond a bachelor's degree; "graduate courses"	Education
shine unsteadily; "The candle flickered"	Physics and astronomy
a variety of aster	Biology
an injection into a vein	Health and medicine
a flag longer than it is wide (and often tapering)	Heraldry, honors, and vexillology
a discrete unit of living matter	Biology
showing a cheerful willingness to do favors for others; "to close one's eyes like a complaisant husband whose wife has taken a lover"; "the obliging waiter was in no hurry for us to leave"	Philosophy and psychology
having the power or quality of deciding; "the crucial experiment"; "cast the deciding vote"; "the determinative (or determinant) battle"	Philosophy and psychology
serving as a visible symbol for something abstract; "a crown is emblematic of royalty"; "the spinning wheel was as symbolic of colonical Massachusetts as the codfish"	Heraldry, honors, and vexillology
a variety of goldenrod	Biology
protect from impact; "cushion the blow"	Engineering and technology
of or relating to or formed from a verb; "verbal adjectives like `running' in `hot and cold running water'"	Language and linguistics
draw a limb towards the body; "adduct the thigh muscle"	Health and medicine
a variety of centaury with broad leaves	Biology
form anew in the imagination; recollect and re-form in the mind; "His mind re-creates the entire world"	Philosophy and psychology
harden steel by adding carbon	Chemistry and mineralogy
pangs of feeling guilty	Philosophy and psychology
of or relating to the measurement of viscosity	Mathematics
in an aggressive manner; "she was being sharply questioned"	Philosophy and psychology
similar or equivalent in some respects though otherwise dissimilar; "brains and computers are often considered analogous"; "salmon roe is marketed as analogous to caviar"	Mathematics
propel with force; "launch the space shuttle"; "Launch a ship"	Warfare and defense
a member of the Episcopal church	Religion, mysticism and mythology
a dividend paid in addition to the regular dividend	Business, economics, and finance
